query,actual col,T0.6 selected col,T0.6 # correct,T0.6 recall,T0.6 precision,T0.6 F1,T0.4 selected col,T0.4 # correct,T0.4 recall,T0.4 precision,T0.4 F1,T0.2 selected col,T0.2 # correct,T0.2 recall,T0.2 precision,T0.2 F1
Find the names of all physicians and their primary affiliated departments' names.,"['name', 'employeeid', 'primaryaffiliation', 'departmentid']","['physician', 'name']",1,0.25,0.5,0.34,"['physician', 'name']",1,0.25,0.5,0.34,"['physician', 'name']",1,0.25,0.5,0.34
How many patients are not using Procrastin-X as medication?,"['name', 'ssn', 'code']",['patient'],0,0.0,0.0,,['patient'],0,0.0,0.0,,['patient'],0,0.0,0.0,
What are the headquarters and industries of all companies?,"['industry', 'headquarters']","['industry', 'headquarters']",2,1.0,1.0,1.0,"['industry', 'headquarters', 'name']",2,1.0,0.67,0.8,"['industry', 'sales_in_billion', 'market_value_in_billion', 'headquarters', 'profits_in_billion', 'assets_in_billion', 'name', 'company_id']",2,1.0,0.25,0.4
Which address do not have any member with the black membership card?,"['address', 'membership_card']","['address', 'membership_card']",2,1.0,1.0,1.0,"['address', 'membership_card', 'name']",2,1.0,0.67,0.8,"['address', 'member_id', 'name', 'age', 'level_of_membership', 'membership_card']",2,1.0,0.33,0.5
Show the headquarters that have at least two companies.,['headquarters'],['headquarters'],1,1.0,1.0,1.0,"['company_id', 'industry', 'headquarters', 'name']",1,1.0,0.25,0.4,"['industry', 'sales_in_billion', 'market_value_in_billion', 'headquarters', 'profits_in_billion', 'name', 'company_id']",1,1.0,0.14,0.24
What are the names of departments that have primarily affiliated physicians.,"['departmentid', 'primaryaffiliation', 'name']",['name'],1,0.33,1.0,0.5,"['dname', 'name']",1,0.33,0.5,0.4,"['dname', 'mgr_start_date', 'name', 'dnumber', 'mgr_ssn']",1,0.33,0.2,0.24
"Return the characters for actors, ordered by age descending.","['age', 'character']","['age', 'character']",2,1.0,1.0,1.0,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5
Find the number of patients who are not using the medication of Procrastin-X.,"['name', 'ssn', 'code']","['patient', 'medication']",0,0.0,0.0,,"['patient', 'medication']",0,0.0,0.0,,"['patient', 'medication']",0,0.0,0.0,
Find the number of rooms for different block code?,"['blockfloor', 'blockcode']",['room'],0,0.0,0.0,,['room'],0,0.0,0.0,,['room'],0,0.0,0.0,
"Show name, opening year, and capacity for each cinema.","['openning_year', 'capacity', 'name']","['name', 'cinema_id', 'capacity', 'openning_year', 'location']",3,1.0,0.6,0.74,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'film_id', 'openning_year', 'location']",3,1.0,0.43,0.6,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'price', 'film_id', 'openning_year', 'location']",3,1.0,0.38,0.56
How many farms are there?,[],"['total_horses', 'cows', 'total_cattle', 'working_horses', 'sheep_and_goats']",0,,0.0,,"['total_horses', 'bulls', 'cows', 'total_cattle', 'working_horses', 'oxen', 'farm_id', 'year', 'sheep_and_goats', 'pigs']",0,,0.0,,"['total_horses', 'bulls', 'cows', 'total_cattle', 'working_horses', 'oxen', 'farm_id', 'rank', 'year', 'sheep_and_goats', 'pigs']",0,,0.0,
What is the id of the patient who stayed in room 111 most recently?,"['staystart', 'patient', 'room']","['patient', 'room']",2,0.67,1.0,0.8,"['patient', 'room']",2,0.67,1.0,0.8,"['patient', 'room']",2,0.67,1.0,0.8
Count the number of films whose title contains the word 'Dummy'.,['title'],['title'],1,1.0,1.0,1.0,"['rank_in_series', 'directed_by', 'number_in_season', 'production_code', 'film_id', 'title']",1,1.0,0.17,0.3,"['original_air_date', 'rank_in_series', 'directed_by', 'number_in_season', 'production_code', 'film_id', 'title']",1,1.0,0.14,0.24
List the names of companies by ascending number of sales.,"['sales_in_billion', 'name']",['name'],1,0.5,1.0,0.66,"['industry', 'sales_in_billion', 'name']",2,1.0,0.67,0.8,"['industry', 'sales_in_billion', 'market_value_in_billion', 'headquarters', 'profits_in_billion', 'name', 'company_id']",2,1.0,0.29,0.44
Find the name of physicians who are in charge of more than one patient.,"['name', 'employeeid', 'pcp']","['physician', 'name']",1,0.33,0.5,0.4,"['physician', 'name']",1,0.33,0.5,0.4,"['physician', 'name']",1,0.33,0.5,0.4
List the official name and status of the city with the largest population.,"['population', 'official_name', 'status']","['population', 'official_name', 'status']",3,1.0,1.0,1.0,"['population', 'official_name', 'status']",3,1.0,1.0,1.0,"['population', 'official_name', 'city_id', 'status', 'area_km_2', 'census_ranking']",3,1.0,0.5,0.66
Find the physician who was trained in the most expensive procedure?,"['name', 'employeeid', 'cost', 'treatment', 'code']",['physician'],0,0.0,0.0,,['physician'],0,0.0,0.0,,['physician'],0,0.0,0.0,
What are each physician's employee id and department id primarily affiliated.,"['physician', 'department', 'primaryaffiliation']",['department'],1,0.33,1.0,0.5,['department'],1,0.33,1.0,0.5,['department'],1,0.33,1.0,0.5
How many musicals has each nominee been nominated for?,['nominee'],"['nominee', 'result']",1,1.0,0.5,0.66,"['nominee', 'musical_id', 'name', 'result', 'year', 'award']",1,1.0,0.17,0.3,"['nominee', 'musical_id', 'name', 'result', 'year', 'category', 'award']",1,1.0,0.14,0.24
What is the name of the medication used for the patient staying in room 111?,"['room', 'name', 'ssn', 'code']","['room', 'medication', 'patient', 'name']",2,0.5,0.5,0.5,"['room', 'medication', 'patient', 'name']",2,0.5,0.5,0.5,"['room', 'medication', 'patient', 'name']",2,0.5,0.5,0.5
"What are the highest cost, lowest cost and average cost of procedures?",['cost'],['cost'],1,1.0,1.0,1.0,['cost'],1,1.0,1.0,1.0,['cost'],1,1.0,1.0,1.0
Count the number of farms.,[],"['total_horses', 'bulls', 'cows', 'total_cattle', 'working_horses', 'sheep_and_goats', 'pigs']",0,,0.0,,"['total_horses', 'bulls', 'cows', 'total_cattle', 'working_horses', 'oxen', 'farm_id', 'rank', 'year', 'sheep_and_goats', 'pigs']",0,,0.0,,"['total_horses', 'bulls', 'cows', 'total_cattle', 'working_horses', 'oxen', 'farm_id', 'rank', 'year', 'sheep_and_goats', 'pigs']",0,,0.0,
How many appointments are there?,[],['appointment'],0,,0.0,,['appointment'],0,,0.0,,['appointment'],0,,0.0,
What are the themes of competitions that have corresponding host cities with more than 1000 residents?,"['host_city_id', 'city_id', 'theme', 'population']","['theme', 'hosts']",1,0.25,0.5,0.34,"['competition_id', 'host_city_id', 'theme', 'year', 'hosts']",2,0.5,0.4,0.44,"['competition_id', 'host_city_id', 'rank', 'farm_id', 'theme', 'year', 'hosts']",2,0.5,0.29,0.36
"Return the different statuses of cities, ascending by frequency.",['status'],['status'],1,1.0,1.0,1.0,"['population', 'official_name', 'city_id', 'status', 'census_ranking']",1,1.0,0.2,0.34,"['population', 'official_name', 'city_id', 'status', 'area_km_2', 'census_ranking']",1,1.0,0.17,0.3
What are the official names of cities that have not hosted a farm competition?,"['host_city_id', 'city_id', 'official_name']",[],0,0.0,,,"['host_city_id', 'rank', 'farm_id', 'hosts']",1,0.33,0.25,0.28,"['total_horses', 'bulls', 'competition_id', 'host_city_id', 'cows', 'total_cattle', 'working_horses', 'oxen', 'farm_id', 'rank', 'theme', 'year', 'hosts', 'sheep_and_goats', 'pigs']",1,0.33,0.07,0.12
Find the name of physicians who are affiliated with Surgery or Psychiatry department.,"['name', 'employeeid', 'departmentid']","['physician', 'name']",1,0.33,0.5,0.4,"['physician', 'name']",1,0.33,0.5,0.4,"['physician', 'name']",1,0.33,0.5,0.4
Show the shop addresses ordered by their opening year.,"['address', 'open_year']","['address', 'open_year']",2,1.0,1.0,1.0,"['shop_id', 'time_of_purchase', 'address', 'open_year']",2,1.0,0.5,0.66,"['num_of_staff', 'shop_id', 'address', 'score', 'time_of_purchase', 'open_year']",2,1.0,0.33,0.5
Find the department with the most employees.,"['departmentid', 'name']",[],0,0.0,,,"['dname', 'mgr_start_date', 'mgr_ssn', 'dnumber']",0,0.0,0.0,,"['dname', 'mgr_start_date', 'mgr_ssn', 'dnumber']",0,0.0,0.0,
Tell me the distinct block codes where some rooms are available.,"['unavailable', 'blockcode']","['room', 'code']",0,0.0,0.0,,"['room', 'code']",0,0.0,0.0,,"['room', 'code']",0,0.0,0.0,
Which membership card has more than 5 members?,['membership_card'],['membership_card'],1,1.0,1.0,1.0,"['address', 'name', 'age', 'level_of_membership', 'membership_card']",1,1.0,0.2,0.34,"['num_of_staff', 'num_of_staff_in_charge', 'address', 'member_id', 'name', 'age', 'level_of_membership', 'membership_card', 'total_amount']",1,1.0,0.11,0.2
Which months have more than 2 happy hours?,['month'],['month'],1,1.0,1.0,1.0,"['month', 'num_of_staff_in_charge', 'shop_id', 'member_id', 'hh_id', 'total_amount']",1,1.0,0.17,0.3,"['month', 'num_of_staff_in_charge', 'shop_id', 'member_id', 'time_of_purchase', 'open_year', 'hh_id', 'total_amount']",1,1.0,0.12,0.22
Find the name of medication used on the patient who stays in room 111?,"['room', 'name', 'ssn', 'code']","['room', 'name', 'patient', 'medication', 'stay']",2,0.5,0.4,0.44,"['room', 'name', 'patient', 'medication', 'stay']",2,0.5,0.4,0.44,"['room', 'name', 'patient', 'medication', 'stay']",2,0.5,0.4,0.44
"Tell me the highest, lowest, and average cost of procedures.",['cost'],['cost'],1,1.0,1.0,1.0,['cost'],1,1.0,1.0,1.0,['cost'],1,1.0,1.0,1.0
What are the title and director of each film?,"['directed_by', 'title']","['rank_in_series', 'directed_by', 'title']",2,1.0,0.67,0.8,"['rank_in_series', 'directed_by', 'number_in_season', 'production_code', 'film_id', 'title']",2,1.0,0.33,0.5,"['original_air_date', 'rank_in_series', 'directed_by', 'number_in_season', 'production_code', 'film_id', 'title']",2,1.0,0.29,0.44
What are the hosts of competitions whose theme is not 'Aliens'?,"['theme', 'hosts']","['theme', 'hosts']",2,1.0,1.0,1.0,"['year', 'theme', 'competition_id', 'hosts']",2,1.0,0.5,0.66,"['competition_id', 'host_city_id', 'rank', 'farm_id', 'theme', 'year', 'hosts']",2,1.0,0.29,0.44
List the name of physicians who never took any appointment.,"['employeeid', 'name']","['physician', 'name']",1,0.5,0.5,0.5,"['physician', 'name']",1,0.5,0.5,0.5,"['physician', 'name']",1,0.5,0.5,0.5
What are the names of procedures physician John Wen was trained in?,"['name', 'employeeid', 'treatment', 'code']","['physician', 'name']",1,0.25,0.5,0.34,"['physician', 'name']",1,0.25,0.5,0.34,"['physician', 'name']",1,0.25,0.5,0.34
Show the names of companies and of employees.,"['people_id', 'company_id', 'name']",['name'],1,0.33,1.0,0.5,['name'],1,0.33,1.0,0.5,['name'],1,0.33,1.0,0.5
List the name of physicians who took some appointment.,"['employeeid', 'name']","['physician', 'name']",1,0.5,0.5,0.5,"['physician', 'name']",1,0.5,0.5,0.5,"['physician', 'name']",1,0.5,0.5,0.5
Find the name of the patient who made the appointment with the most recent start date.,"['start', 'name', 'ssn']","['patient', 'start', 'name', 'appointment']",2,0.67,0.5,0.58,"['patient', 'start', 'name', 'appointment']",2,0.67,0.5,0.58,"['patient', 'start', 'name', 'appointment']",2,0.67,0.5,0.58
Find the number of patients' prescriptions physician John Dorian made.,"['name', 'employeeid', 'ssn']",['physician'],0,0.0,0.0,,['physician'],0,0.0,0.0,,['physician'],0,0.0,0.0,
Tell me the employee id of the head of the department with the least employees.,"['head', 'departmentid']",['head'],1,0.5,1.0,0.66,"['dname', 'mgr_start_date', 'dnumber', 'head', 'mgr_ssn']",1,0.5,0.2,0.28,"['dname', 'mgr_start_date', 'dnumber', 'head', 'mgr_ssn']",1,0.5,0.2,0.28
How many actors are there?,[],['age'],0,,0.0,,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",0,,0.0,,"['musical_id', 'assets_in_billion', 'name', 'character', 'age', 'actor_id', 'duration']",0,,0.0,
Show the cinema name and location for cinemas with capacity above average.,"['location', 'capacity', 'name']","['location', 'name', 'capacity']",3,1.0,1.0,1.0,"['name', 'cinema_id', 'capacity', 'film_id', 'openning_year', 'location']",3,1.0,0.5,0.66,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'price', 'film_id', 'openning_year', 'location']",3,1.0,0.38,0.56
Return the different nominees of musicals that have an award that is not the Tony Award.,"['nominee', 'award']","['nominee', 'result', 'award']",2,1.0,0.67,0.8,"['nominee', 'name', 'result', 'category', 'award']",2,1.0,0.4,0.58,"['nominee', 'musical_id', 'name', 'result', 'year', 'category', 'award']",2,1.0,0.29,0.44
