query,actual col,# actual col,T0.6 selected col,T0.6 # correct,T0.6 recall,T0.6 precision,T0.6 F1,T0.4 selected col,T0.4 # correct,T0.4 recall,T0.4 precision,T0.4 F1,T0.2 selected col,T0.2 # correct,T0.2 recall,T0.2 precision,T0.2 F1
Find the patient who most recently stayed in room 111.,"['patient', 'room', 'staystart']",3,"['patient', 'room']",2,0.67,1.0,0.8,"['roomnumber', 'name', 'ssn', 'examinationroom', 'room', 'blockfloor', 'blockcode', 'stayid', 'phone', 'unavailable', 'address', 'patient', 'roomtype']",2,0.67,0.15,0.24,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'pcp', 'date', 'nurse', 'roomnumber', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'unavailable', 'blockfloor', 'room', 'employeeid', 'department', 'staystart', 'assistingnurse', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'dateundergoes', 'blockcode', 'medication', 'stayend', 'address', 'appointmentid']",3,1.0,0.09,0.16
Which address has both members younger than 30 and members older than 40?,"['address', 'age']",2,"['address', 'age']",2,1.0,1.0,1.0,"['address', 'name', 'age']",2,1.0,0.67,0.8,"['level_of_membership', 'name', 'member_id', 'membership_card', 'address', 'age']",2,1.0,0.33,0.5
How many patients do each physician take care of? List their names and number of patients they take care of.,"['name', 'employeeid', 'pcp']",3,"['physician', 'name', 'patient']",1,0.33,0.33,0.34,"['physician', 'name', 'patient']",1,0.33,0.33,0.34,"['physician', 'name', 'ssn', 'employeeid', 'position', 'insuranceid', 'medication', 'pcp', 'phone', 'address', 'patient', 'roomtype']",3,1.0,0.25,0.4
"Please show the different statuses, ordered by the number of cities that have each.",['status'],1,['status'],1,1.0,1.0,1.0,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",1,1.0,0.17,0.3,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",1,1.0,0.17,0.3
Who are the nominees who have been nominated more than two times?,['nominee'],1,['nominee'],1,1.0,1.0,1.0,"['category', 'result', 'nominee']",1,1.0,0.33,0.5,"['category', 'result', 'nominee', 'award']",1,1.0,0.25,0.4
Find the id of the appointment with the most recent start date?,"['appointmentid', 'start']",2,"['date', 'appointment', 'start']",1,0.5,0.33,0.4,"['physician', 'examinationroom', 'appointment', 'dateundergoes', 'staystart', 'date', 'start', 'end', 'appointmentid']",2,1.0,0.22,0.36,"['name', 'position', 'procedures', 'stayid', 'pcp', 'date', 'nurse', 'physician', 'oncallstart', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'certificationdate', 'certificationexpires', 'room', 'employeeid', 'department', 'staystart', 'assistingnurse', 'start', 'oncallend', 'end', 'registered', 'patient', 'ssn', 'dateundergoes', 'blockcode', 'stayend', 'address', 'appointmentid']",2,1.0,0.06,0.12
Show the headquarters that have both companies in banking industry and companies in oil and gas industry.,"['industry', 'headquarters']",2,"['industry', 'headquarters']",2,1.0,1.0,1.0,"['name', 'industry', 'headquarters']",2,1.0,0.67,0.8,"['name', 'market_value_in_billion', 'industry', 'headquarters', 'sales_in_billion', 'profits_in_billion', 'company_id']",2,1.0,0.29,0.44
Find the id and address of the shops whose score is below the average score.,"['shop_id', 'address', 'score']",3,"['address', 'score']",2,0.67,1.0,0.8,"['address', 'score']",2,0.67,1.0,0.8,"['open_year', 'num_of_staff', 'shop_id', 'address', 'time_of_purchase', 'score']",3,1.0,0.5,0.66
How many different statuses do cities have?,['status'],1,['status'],1,1.0,1.0,1.0,"['status', 'official_name', 'area_km_2', 'city_id', 'population']",1,1.0,0.2,0.34,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",1,1.0,0.17,0.3
Find the locations that have more than one movie theater with capacity above 300.,"['location', 'capacity']",2,"['location', 'capacity']",2,1.0,1.0,1.0,"['location', 'cinema_id', 'name', 'capacity', 'openning_year']",2,1.0,0.4,0.58,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'price', 'openning_year', 'show_times_per_day']",2,1.0,0.25,0.4
Show director with the largest number of show times in total.,"['film_id', 'show_times_per_day', 'directed_by']",3,[],0,0.0,ZeroDivisionError,,"['number_in_season', 'rank_in_series']",0,0.0,0.0,ZeroDivisionError,"['production_code', 'film_id', 'number_in_season', 'rank_in_series', 'directed_by']",2,0.67,0.4,0.5
Give the years and official names of the cities of each competition.,"['city_id', 'official_name', 'host_city_id', 'year']",4,[],0,0.0,ZeroDivisionError,,"['status', 'official_name']",1,0.25,0.5,0.34,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",2,0.5,0.33,0.4
List the names of people that are not employed by any company,"['name', 'people_id']",2,['name'],1,0.5,1.0,0.66,['name'],1,0.5,1.0,0.66,['name'],1,0.5,1.0,0.66
Show the names of companies in the banking or retailing industry?,"['name', 'industry']",2,"['name', 'industry']",2,1.0,1.0,1.0,"['company_id', 'name', 'industry']",2,1.0,0.67,0.8,"['name', 'market_value_in_billion', 'assets_in_billion', 'industry', 'headquarters', 'sales_in_billion', 'profits_in_billion', 'company_id']",2,1.0,0.25,0.4
What is the name of the patient who made the most recent appointment?,"['name', 'ssn', 'start']",3,"['physician', 'name', 'patient', 'appointment']",1,0.33,0.25,0.28,"['name', 'position', 'procedures', 'stayid', 'pcp', 'physician', 'examinationroom', 'appointment', 'insuranceid', 'phone', 'room', 'employeeid', 'assistingnurse', 'start', 'end', 'patient', 'dateundergoes', 'address', 'appointmentid']",2,0.67,0.11,0.18,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'certificationdate', 'blockfloor', 'room', 'employeeid', 'department', 'assistingnurse', 'cost', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'blockcode', 'medication', 'address', 'appointmentid']",3,1.0,0.08,0.14
what are name and phone number of patients who had more than one appointment?,"['name', 'ssn', 'phone']",3,"['physician', 'name', 'appointment', 'phone', 'patient']",2,0.67,0.4,0.5,"['end', 'physician', 'name', 'ssn', 'examinationroom', 'appointment', 'employeeid', 'insuranceid', 'stayid', 'pcp', 'phone', 'nurse', 'start', 'address', 'patient', 'appointmentid']",3,1.0,0.19,0.32,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'roomnumber', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'department', 'assistingnurse', 'cost', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'blockcode', 'medication', 'address', 'appointmentid']",3,1.0,0.08,0.14
"List the names of all distinct medications, ordered in an alphabetical order.",['name'],1,['name'],1,1.0,1.0,1.0,"['physician', 'name', 'brand', 'appointment', 'medication', 'description', 'date', 'code', 'patient']",1,1.0,0.11,0.2,"['name', 'position', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'appointment', 'insuranceid', 'phone', 'code', 'room', 'employeeid', 'patient', 'ssn', 'brand', 'dose', 'blockcode', 'medication', 'address']",1,1.0,0.05,0.1
What are the id and address of the shops which have a happy hour in May?,"['shop_id', 'address', 'month']",3,"['shop_id', 'address']",2,0.67,1.0,0.8,"['open_year', 'member_id', 'shop_id', 'month', 'hh_id', 'address', 'num_of_staff_in_charge']",3,1.0,0.43,0.6,"['open_year', 'num_of_staff_in_charge', 'total_amount', 'member_id', 'num_of_staff', 'shop_id', 'month', 'hh_id', 'address', 'time_of_purchase', 'score']",3,1.0,0.27,0.42
Find the names of all procedures such that the cost is less than 5000 and physician John Wen was trained in.,"['name', 'treatment', 'employeeid', 'cost', 'code']",5,"['cost', 'physician', 'name']",2,0.4,0.67,0.5,"['physician', 'cost', 'name']",2,0.4,0.67,0.5,"['name', 'position', 'procedures', 'prepnurse', 'description', 'pcp', 'date', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'employeeid', 'assistingnurse', 'cost', 'start', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'medication', 'address']",5,1.0,0.19,0.32
Show the status shared by cities with population bigger than 1500 and smaller than 500.,"['status', 'population']",2,"['status', 'population']",2,1.0,1.0,1.0,"['status', 'population']",2,1.0,1.0,1.0,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",2,1.0,0.33,0.5
What are the names of actors ordered descending by the year in which their musical was awarded?,"['name', 'musical_id', 'year']",3,"['result', 'name', 'nominee', 'award', 'year']",2,0.67,0.4,0.5,"['result', 'name', 'musical_id', 'nominee', 'award', 'year']",3,1.0,0.5,0.66,"['result', 'name', 'musical_id', 'nominee', 'award', 'category', 'year']",3,1.0,0.43,0.6
Please show the themes of competitions with host cities having populations larger than 1000.,"['theme', 'host_city_id', 'city_id', 'population']",4,['population'],1,0.25,1.0,0.4,['population'],1,0.25,1.0,0.4,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",2,0.5,0.33,0.4
Show the status of the city that has hosted the greatest number of competitions.,"['status', 'city_id', 'host_city_id']",3,['status'],1,0.33,1.0,0.5,"['status', 'official_name', 'population']",1,0.33,0.33,0.34,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",2,0.67,0.33,0.44
Show the census ranking of cities whose status are not 'Village'.,"['status', 'census_ranking']",2,"['status', 'census_ranking']",2,1.0,1.0,1.0,"['status', 'census_ranking', 'official_name', 'population']",2,1.0,0.5,0.66,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",2,1.0,0.33,0.5
What are the unique block codes that have available rooms?,"['blockcode', 'unavailable']",2,"['code', 'blockcode']",1,0.5,0.5,0.5,"['roomnumber', 'blockcode', 'code', 'unavailable', 'blockfloor', 'roomtype']",2,1.0,0.33,0.5,"['roomnumber', 'examinationroom', 'room', 'employeeid', 'patient', 'blockcode', 'roomtype', 'stayid', 'code', 'unavailable', 'blockfloor', 'appointmentid']",2,1.0,0.17,0.3
Give me the title and highest price for each film.,"['film_id', 'title', 'price']",3,['title'],1,0.33,1.0,0.5,"['production_code', 'film_id', 'title', 'number_in_season', 'rank_in_series', 'directed_by']",2,0.67,0.33,0.44,"['production_code', 'film_id', 'title', 'original_air_date', 'number_in_season', 'rank_in_series', 'directed_by']",2,0.67,0.29,0.4
Show different nominees and the number of musicals they have been nominated.,['nominee'],1,"['result', 'nominee']",1,1.0,0.5,0.66,"['result', 'name', 'musical_id', 'nominee', 'award', 'category', 'year']",1,1.0,0.14,0.24,"['result', 'name', 'musical_id', 'nominee', 'award', 'category', 'year']",1,1.0,0.14,0.24
What are the name and location of the cinema with the largest capacity?,"['location', 'name', 'capacity']",3,"['location', 'cinema_id', 'name', 'capacity']",3,1.0,0.75,0.86,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'openning_year']",3,1.0,0.5,0.66,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'openning_year', 'show_times_per_day']",3,1.0,0.43,0.6
Which physicians are in charge of more than one patient? Give me their names.,"['name', 'employeeid', 'pcp']",3,"['physician', 'name', 'position', 'pcp', 'patient']",2,0.67,0.4,0.5,"['physician', 'name', 'ssn', 'appointment', 'employeeid', 'position', 'insuranceid', 'pcp', 'phone', 'address', 'patient']",3,1.0,0.27,0.42,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'insuranceid', 'phone', 'code', 'room', 'employeeid', 'department', 'assistingnurse', 'cost', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'blockcode', 'medication', 'address', 'appointmentid']",3,1.0,0.09,0.16
Show all directors.,['directed_by'],1,[],0,0.0,ZeroDivisionError,,['directed_by'],1,1.0,1.0,1.0,"['production_code', 'film_id', 'title', 'original_air_date', 'number_in_season', 'rank_in_series', 'directed_by']",1,1.0,0.14,0.24
Show the most common headquarter for companies.,['headquarters'],1,[],0,0.0,ZeroDivisionError,,"['company_id', 'name', 'industry', 'headquarters']",1,1.0,0.25,0.4,"['name', 'market_value_in_billion', 'assets_in_billion', 'industry', 'headquarters', 'sales_in_billion', 'profits_in_billion', 'company_id']",1,1.0,0.12,0.22
Show names of actors in descending order of the year their musical is awarded.,"['name', 'musical_id', 'year']",3,"['name', 'nominee', 'year']",2,0.67,0.67,0.68,"['result', 'name', 'musical_id', 'nominee', 'award', 'year']",3,1.0,0.5,0.66,"['result', 'name', 'musical_id', 'nominee', 'award', 'category', 'year']",3,1.0,0.43,0.6
Show all the locations with at least two cinemas with capacity above 300.,"['location', 'capacity']",2,"['location', 'capacity']",2,1.0,1.0,1.0,"['location', 'cinema_id', 'name', 'capacity', 'openning_year', 'show_times_per_day']",2,1.0,0.33,0.5,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'price', 'openning_year', 'show_times_per_day']",2,1.0,0.25,0.4
What are the names of musicals with nominee 'Bob Fosse'?,"['name', 'nominee']",2,"['name', 'nominee']",2,1.0,1.0,1.0,"['result', 'name', 'nominee', 'award', 'year']",2,1.0,0.4,0.58,"['result', 'name', 'musical_id', 'nominee', 'award', 'category', 'year']",2,1.0,0.29,0.44
Which locations have 2 or more cinemas with capacity over 300?,"['location', 'capacity']",2,"['location', 'capacity']",2,1.0,1.0,1.0,"['location', 'cinema_id', 'name', 'capacity', 'openning_year', 'show_times_per_day']",2,1.0,0.33,0.5,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'price', 'openning_year', 'show_times_per_day']",2,1.0,0.25,0.4
Find the number of employees of each gender whose salary is lower than 50000.,"['sex', 'salary']",2,['salary'],1,0.5,1.0,0.66,"['sex', 'salary']",2,1.0,1.0,1.0,"['sex', 'super_ssn', 'minit', 'salary', 'bdate', 'lname', 'address', 'fname', 'dno']",2,1.0,0.22,0.36
Return the maximum and minimum number of cows across all farms.,['cows'],1,"['sheep_and_goats', 'bulls', 'total_cattle', 'cows']",1,1.0,0.25,0.4,"['farm_id', 'oxen', 'cows', 'sheep_and_goats', 'working_horses', 'rank', 'bulls', 'pigs', 'year', 'total_horses', 'total_cattle']",1,1.0,0.09,0.16,"['farm_id', 'oxen', 'cows', 'sheep_and_goats', 'working_horses', 'rank', 'bulls', 'pigs', 'year', 'total_horses', 'total_cattle']",1,1.0,0.09,0.16
List the names of departments where some physicians are primarily affiliated with.,"['primaryaffiliation', 'name', 'departmentid']",3,"['physician', 'position', 'name', 'department']",1,0.33,0.25,0.28,"['physician', 'name', 'ssn', 'appointment', 'employeeid', 'position', 'department', 'pcp', 'patient']",1,0.33,0.11,0.16,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'pcp', 'date', 'nurse', 'physician', 'appointment', 'insuranceid', 'phone', 'code', 'room', 'employeeid', 'department', 'assistingnurse', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'medication', 'address']",1,0.33,0.04,0.08
Show all the locations where some cinemas were opened in both year 2010 and year 2011.,"['location', 'openning_year']",2,['location'],1,0.5,1.0,0.66,"['location', 'cinema_id', 'name', 'openning_year']",2,1.0,0.5,0.66,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'openning_year', 'date', 'show_times_per_day']",2,1.0,0.25,0.4
What are the maximum and minimum number of cows across all farms.,['cows'],1,"['sheep_and_goats', 'bulls', 'total_cattle', 'cows']",1,1.0,0.25,0.4,"['oxen', 'cows', 'sheep_and_goats', 'working_horses', 'bulls', 'pigs', 'year', 'total_horses', 'total_cattle']",1,1.0,0.11,0.2,"['farm_id', 'oxen', 'cows', 'sheep_and_goats', 'working_horses', 'rank', 'bulls', 'pigs', 'year', 'total_horses', 'total_cattle']",1,1.0,0.09,0.16
What is the membership card held by both members living in Hartford and ones living in Waterbury address?,"['address', 'membership_card']",2,['address'],1,0.5,1.0,0.66,"['address', 'membership_card']",2,1.0,1.0,1.0,"['num_of_staff_in_charge', 'level_of_membership', 'name', 'total_amount', 'member_id', 'membership_card', 'hh_id', 'address', 'age']",2,1.0,0.22,0.36
What are all the locations with a cinema?,['location'],1,"['location', 'cinema_id', 'name']",1,1.0,0.33,0.5,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'openning_year']",1,1.0,0.17,0.3,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'openning_year', 'show_times_per_day']",1,1.0,0.14,0.24
"Find the purchase time, age and address of each member, and show the results in the order of purchase time.","['address', 'age', 'time_of_purchase']",3,"['address', 'age']",2,0.67,1.0,0.8,"['address', 'time_of_purchase', 'age']",3,1.0,1.0,1.0,"['open_year', 'num_of_staff_in_charge', 'level_of_membership', 'name', 'total_amount', 'member_id', 'num_of_staff', 'shop_id', 'membership_card', 'age', 'address', 'time_of_purchase', 'score']",3,1.0,0.23,0.38
Find the names of nurses who are nursing an undergoing treatment.,"['assistingnurse', 'name', 'employeeid']",3,"['name', 'nurse', 'treatment']",1,0.33,0.33,0.34,"['name', 'position', 'prepnurse', 'stayid', 'pcp', 'nurse', 'physician', 'insuranceid', 'phone', 'blockfloor', 'room', 'employeeid', 'assistingnurse', 'registered', 'patient', 'treatment', 'blockcode', 'medication', 'address']",3,1.0,0.16,0.28,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'department', 'assistingnurse', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'blockcode', 'medication', 'address', 'appointmentid']",3,1.0,0.09,0.16
Give the average number of working horses on farms with more than 5000 total horses.,"['working_horses', 'total_horses']",2,"['working_horses', 'total_horses', 'total_cattle']",2,1.0,0.67,0.8,"['farm_id', 'oxen', 'cows', 'sheep_and_goats', 'working_horses', 'rank', 'bulls', 'pigs', 'total_horses', 'total_cattle']",2,1.0,0.2,0.34,"['farm_id', 'oxen', 'cows', 'sheep_and_goats', 'working_horses', 'rank', 'bulls', 'pigs', 'year', 'total_horses', 'total_cattle']",2,1.0,0.18,0.3
List official names of cities in descending order of population.,"['official_name', 'population']",2,"['official_name', 'population']",2,1.0,1.0,1.0,"['status', 'census_ranking', 'official_name', 'city_id', 'population']",2,1.0,0.4,0.58,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",2,1.0,0.33,0.5
"list the first and last names, and the addresses of all employees in the ascending order of their birth date.","['bdate', 'address', 'fname', 'lname']",4,"['bdate', 'address', 'fname', 'lname']",4,1.0,1.0,1.0,"['sex', 'ssn', 'super_ssn', 'minit', 'bdate', 'lname', 'address', 'fname', 'dno']",4,1.0,0.44,0.62,"['sex', 'ssn', 'super_ssn', 'minit', 'salary', 'bdate', 'lname', 'address', 'fname', 'dno']",4,1.0,0.4,0.58
Count the number of different statuses.,['status'],1,[],0,0.0,ZeroDivisionError,,[],0,0.0,ZeroDivisionError,,"['status', 'census_ranking']",1,1.0,0.5,0.66
List the total number of horses on farms in ascending order.,['total_horses'],1,"['working_horses', 'total_horses', 'total_cattle', 'cows']",1,1.0,0.25,0.4,"['farm_id', 'oxen', 'cows', 'sheep_and_goats', 'working_horses', 'rank', 'bulls', 'pigs', 'year', 'total_horses', 'total_cattle']",1,1.0,0.09,0.16,"['farm_id', 'oxen', 'cows', 'sheep_and_goats', 'working_horses', 'rank', 'bulls', 'pigs', 'year', 'total_horses', 'total_cattle']",1,1.0,0.09,0.16
List the names of all the physicians who prescribe Thesisin as medication.,"['name', 'employeeid', 'code']",3,"['physician', 'name', 'medication']",1,0.33,0.33,0.34,"['physician', 'name', 'brand', 'appointment', 'dose', 'position', 'medication', 'description', 'pcp', 'code', 'patient']",2,0.67,0.18,0.28,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'appointment', 'insuranceid', 'phone', 'code', 'room', 'employeeid', 'assistingnurse', 'registered', 'patient', 'ssn', 'brand', 'treatment', 'dose', 'blockcode', 'medication', 'address']",3,1.0,0.12,0.22
Show the musical nominee with award 'Bob Fosse' or 'Cleavant Derricks'.,"['nominee', 'award']",2,"['nominee', 'award']",2,1.0,1.0,1.0,"['result', 'nominee', 'award']",2,1.0,0.67,0.8,"['result', 'name', 'musical_id', 'nominee', 'award', 'category', 'year']",2,1.0,0.29,0.44
How many patients stay in room 112?,"['patient', 'room']",2,"['roomnumber', 'room', 'stay', 'patient', 'roomtype']",2,1.0,0.4,0.58,"['roomnumber', 'name', 'examinationroom', 'room', 'stay', 'blockfloor', 'blockcode', 'stayid', 'phone', 'unavailable', 'address', 'patient', 'roomtype']",2,1.0,0.15,0.26,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'nurse', 'roomnumber', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'unavailable', 'blockfloor', 'room', 'employeeid', 'assistingnurse', 'cost', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'dose', 'dateundergoes', 'blockcode', 'medication', 'address', 'appointmentid']",2,1.0,0.06,0.12
What nurses are on call with block floor 1 and block code 1? Tell me their names.,"['blockcode', 'blockfloor', 'nurse']",3,"['name', 'blockcode', 'code', 'nurse', 'blockfloor']",3,1.0,0.6,0.74,"['name', 'employeeid', 'position', 'prepnurse', 'blockcode', 'assistingnurse', 'phone', 'code', 'nurse', 'address', 'registered', 'blockfloor']",3,1.0,0.25,0.4,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'nurse', 'roomnumber', 'physician', 'oncallstart', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'unavailable', 'blockfloor', 'room', 'employeeid', 'department', 'assistingnurse', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'blockcode', 'medication', 'address', 'appointmentid']",3,1.0,0.09,0.16
What is the status of the city that has hosted the most competitions?,"['status', 'city_id', 'host_city_id']",3,['status'],1,0.33,1.0,0.5,"['status', 'official_name', 'population']",1,0.33,0.33,0.34,"['status', 'official_name', 'area_km_2', 'city_id', 'population']",2,0.67,0.4,0.5
Find the names of procedures which physician John Wen was trained in.,"['name', 'treatment', 'employeeid', 'code']",4,"['physician', 'name']",1,0.25,0.5,0.34,"['physician', 'position', 'name', 'pcp']",1,0.25,0.25,0.24,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'room', 'employeeid', 'assistingnurse', 'cost', 'start', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'medication', 'address']",4,1.0,0.13,0.24
Show all the locations where no cinema has capacity over 800.,"['location', 'capacity']",2,"['location', 'capacity']",2,1.0,1.0,1.0,"['location', 'cinema_id', 'name', 'capacity', 'openning_year', 'show_times_per_day']",2,1.0,0.33,0.5,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'price', 'openning_year', 'show_times_per_day']",2,1.0,0.25,0.4
List the most common result of the musicals.,['result'],1,['result'],1,1.0,1.0,1.0,"['result', 'name', 'musical_id', 'nominee', 'award', 'year']",1,1.0,0.17,0.3,"['result', 'name', 'musical_id', 'nominee', 'award', 'category', 'year']",1,1.0,0.14,0.24
Show names of musicals which have at least three actors.,"['name', 'musical_id']",2,['name'],1,0.5,1.0,0.66,"['result', 'name', 'nominee', 'year']",1,0.5,0.25,0.34,"['result', 'name', 'musical_id', 'nominee', 'award', 'year']",2,1.0,0.33,0.5
Find all procedures which cost more than 1000 or which physician John Wen was trained in.,"['name', 'treatment', 'employeeid', 'cost', 'code']",5,"['cost', 'physician']",1,0.2,0.5,0.28,"['physician', 'cost', 'name']",2,0.4,0.67,0.5,"['name', 'position', 'procedures', 'pcp', 'date', 'physician', 'examinationroom', 'appointment', 'insuranceid', 'phone', 'code', 'employeeid', 'assistingnurse', 'cost', 'patient', 'ssn', 'treatment', 'dose', 'dateundergoes', 'address']",5,1.0,0.25,0.4
How many members are not living in Hartford?,['address'],1,[],0,0.0,ZeroDivisionError,,[],0,0.0,ZeroDivisionError,,"['num_of_staff_in_charge', 'level_of_membership', 'name', 'address', 'age']",1,1.0,0.2,0.34
What are the names of actors who have been in the musical titled The Phantom of the Opera?,"['name', 'musical_id']",2,['name'],1,0.5,1.0,0.66,"['name', 'nominee', 'year']",1,0.5,0.33,0.4,"['result', 'name', 'musical_id', 'nominee', 'award', 'year']",2,1.0,0.33,0.5
Show the nominees that have nominated musicals for both 'Tony Award' and 'Drama Desk Award'.,"['nominee', 'award']",2,"['result', 'nominee', 'award']",2,1.0,0.67,0.8,"['result', 'name', 'nominee', 'award', 'category', 'year']",2,1.0,0.33,0.5,"['result', 'name', 'musical_id', 'nominee', 'award', 'category', 'year']",2,1.0,0.29,0.44
Return the most frequent result across all musicals.,['result'],1,['result'],1,1.0,1.0,1.0,"['result', 'name', 'musical_id', 'nominee', 'award', 'year']",1,1.0,0.17,0.3,"['result', 'name', 'musical_id', 'nominee', 'award', 'category', 'year']",1,1.0,0.14,0.24
Which physicians have never taken any appointment? Find their names.,"['employeeid', 'name']",2,"['physician', 'name', 'appointment']",1,0.5,0.33,0.4,"['physician', 'name', 'appointment', 'employeeid', 'position', 'pcp', 'phone', 'start', 'address', 'patient']",2,1.0,0.2,0.34,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'assistingnurse', 'cost', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'blockcode', 'medication', 'address', 'appointmentid']",2,1.0,0.06,0.12
Which patients made more than one appointment? Tell me the name and phone number of these patients.,"['name', 'ssn', 'phone']",3,"['physician', 'name', 'appointment', 'phone', 'patient']",2,0.67,0.4,0.5,"['end', 'physician', 'name', 'examinationroom', 'appointment', 'employeeid', 'position', 'insuranceid', 'stayid', 'pcp', 'phone', 'start', 'address', 'patient', 'appointmentid']",2,0.67,0.13,0.22,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'roomnumber', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'assistingnurse', 'cost', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'blockcode', 'medication', 'address', 'appointmentid']",3,1.0,0.08,0.14
What is the average number of working horses of farms with more than 5000 total number of horses?,"['working_horses', 'total_horses']",2,"['working_horses', 'total_horses', 'total_cattle']",2,1.0,0.67,0.8,"['farm_id', 'oxen', 'cows', 'sheep_and_goats', 'working_horses', 'rank', 'bulls', 'pigs', 'year', 'total_horses', 'total_cattle']",2,1.0,0.18,0.3,"['farm_id', 'oxen', 'cows', 'sheep_and_goats', 'working_horses', 'rank', 'bulls', 'pigs', 'year', 'total_horses', 'total_cattle']",2,1.0,0.18,0.3
